City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
108,Tuktoyaktuk,CA,69.4541,-133.0374,26.6,100,90,5.75,light snow
109,Samfya,ZM,-11.3649,29.5565,69.76,51,12,4.79,few clouds
110,Bengkulu,ID,-3.8004,102.2655,76.82,88,81,2.84,broken clouds
111,Esperance,AU,-33.8667,121.9,57.04,66,0,7.11,clear sky
112,Hasaki,JP,35.7333,140.8333,55.8,49,0,1.61,clear sky
113,Chumikan,RU,54.7183,135.315,28.18,91,100,8.79,snow
114,Aasiaat,GL,68.7098,-52.8699,24.94,96,100,9.37,overcast clouds
115,Faanui,PF,-16.4833,-151.75,78.94,71,89,16.02,overcast clouds
116,Lagoa,PT,39.05,-27.9833,68.05,94,100,15.97,overcast clouds
117,Provideniya,RU,64.3833,-173.3,14.31,70,80,2.37,broken clouds
118,Moyale,KE,3.5167,39.0584,69.53,63,43,5.26,scattered clouds
119,Busselton,AU,-33.65,115.3333,57.04,63,4,8.3,clear sky
120,Barrow,US,71.2906,-156.7887,9.19,87,82,10.11,broken clouds
121,Airai,TL,-8.9266,125.4092,71.13,62,81,2.08,broken clouds
122,Yulara,AU,-25.2406,130.9889,69.64,26,75,18.41,light rain
123,Tiksi,RU,71.6872,128.8694,3.2,94,99,7.52,overcast clouds
124,Ixtapa,MX,20.7,-105.2,83.23,87,38,2.91,scattered clouds
125,Orumiyeh,IR,37.5527,45.0761,45.95,71,75,2.3,broken clouds
126,Alofi,NU,-19.0595,-169.9187,82.29,44,96,14.97,overcast clouds
127,Blythe,US,33.6103,-114.5964,89.04,16,0,3.8,clear sky
128,Pangnirtung,CA,66.1451,-65.7125,32.67,97,100,6.51,light snow
129,Dossor,KZ,47.5272,52.9811,49.3,57,100,5.08,overcast clouds
130,Perove,UA,44.9333,34.0667,43.61,84,0,6.64,clear sky
131,Herat,AF,34.5,62.0,51.3,41,4,4.23,clear sky
132,Qasigiannguit,GL,68.8193,-51.1922,21.7,92,94,6.2,overcast clouds
133,Villa Carlos Paz,AR,-31.4241,-64.4978,79.9,42,95,4.0,overcast clouds
134,Kerema,PG,-7.9631,145.7785,83.84,74,72,4.07,broken clouds
135,Chachapoyas,PE,-6.2317,-77.869,53.08,92,76,3.87,broken clouds
