City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
153,Bandarbeyla,SO,77.4,light rain,9.4942,50.8122,JABIR HOTEL
157,Saint George,US,81.07,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
159,Gamba,GA,76.82,overcast clouds,-2.65,10.0,
165,Pacific Grove,US,82.6,few clouds,36.6177,-121.9166,Lovers Point Inn
167,Padang,ID,78.69,overcast clouds,-0.9492,100.3543,Mercure Padang
172,Poso,ID,81.34,overcast clouds,-1.3959,120.7524,Hotel 77 Poso
174,Mufumbwe,ZM,74.39,overcast clouds,-13.6833,24.8,
176,Morondava,MG,74.26,broken clouds,-20.2833,44.2833,La Case Bambou
179,Le Lorrain,MQ,78.75,clear sky,14.8329,-61.0567,Ti'coin Paradis
184,Lorengau,PG,83.28,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
185,Sungairaya,ID,77.52,moderate rain,0.7,108.9,Mess P.Milu
186,San Cristobal,VE,75.38,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
190,Riberalta,BO,88.0,overcast clouds,-10.9833,-66.1,Hotel Colonial
193,Ipixuna,BR,76.95,overcast clouds,-1.7625,-48.8043,Casa da Oscarina
197,Dingle,PH,78.49,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
201,Afua,BR,78.04,broken clouds,-0.1567,-50.3867,Hotel Dias
208,Tual,ID,84.11,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
211,Lufilufi,WS,80.38,broken clouds,-13.8745,-171.5986,Leuaina Beach Resort and Spa
213,Ishigaki,JP,75.33,broken clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
221,San Patricio,US,77.09,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
223,Natal,BR,77.65,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
230,Puerto Escondido,MX,82.29,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
233,Laguna,US,78.69,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
234,Vila Velha,BR,75.15,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
240,Vila Franca Do Campo,PT,73.2,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
246,Acapulco,MX,81.19,few clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
251,Pitimbu,BR,77.59,broken clouds,-7.4706,-34.8086,Reserva do Abiaí
252,Wad Madani,SD,87.64,broken clouds,14.4012,33.5199,فندق يوغسلافيا
258,Wagar,SD,79.84,clear sky,16.1525,36.2032,
