City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
93,Bluff,NZ,2021-10-24 22:05:29,-46.6,168.3333,54.77,90,100,4.41
94,Kemise,ET,2021-10-24 22:05:29,10.7167,39.8667,64.29,48,7,4.97
95,Saskylakh,RU,2021-10-24 22:00:53,71.9167,114.0833,-15.03,100,64,3.89
96,Kavaratti,IN,2021-10-24 22:05:30,10.5669,72.642,81.39,76,82,8.93
97,Bandarbeyla,SO,2021-10-24 22:05:30,9.4942,50.8122,78.04,74,43,4.27
98,Marfino,RU,2021-10-24 22:05:31,55.7028,37.3822,32.09,81,0,11.18
99,Airai,TL,2021-10-24 22:05:31,-8.9266,125.4092,63.37,75,98,1.28
100,Lorengau,PG,2021-10-24 22:05:31,-2.0226,147.2712,81.84,81,80,8.34
101,Henties Bay,NA,2021-10-24 22:05:32,-22.116,14.2845,58.86,91,0,4.14
102,Busselton,AU,2021-10-24 22:04:06,-33.65,115.3333,55.04,77,100,10.36
103,Lebu,CL,2021-10-24 22:05:32,-37.6167,-73.65,55.67,85,12,8.57
104,Cidreira,BR,2021-10-24 22:05:33,-30.1811,-50.2056,62.76,64,0,7.4
105,Thompson,CA,2021-10-24 22:02:32,55.7435,-97.8558,38.26,66,13,6.22
106,Kavieng,PG,2021-10-24 22:05:33,-2.5744,150.7967,83.84,71,65,10.85
107,Fortuna,US,2021-10-24 22:05:34,40.5982,-124.1573,59.36,78,20,3.0
108,Adrar,MR,2021-10-24 22:00:46,20.5022,-10.0711,85.32,21,4,5.5
109,Carnarvon,AU,2021-10-24 22:05:34,-24.8667,113.6333,68.07,73,75,12.66
110,Yellowknife,CA,2021-10-24 22:01:27,62.456,-114.3525,41.56,86,100,18.99
111,Takoradi,GH,2021-10-24 22:05:35,4.8845,-1.7554,77.94,85,34,5.46
112,Turukhansk,RU,2021-10-24 22:05:35,65.8167,87.9833,25.74,96,100,14.0
113,Kajaani,FI,2021-10-24 22:05:35,64.2273,27.7285,32.05,86,90,9.22
114,Provideniya,RU,2021-10-24 22:03:20,64.3833,-173.3,24.91,58,0,11.18
115,Kiunga,PG,2021-10-24 22:05:36,-6.1219,141.2906,73.96,94,100,0.49
